,,서울시 자치구 지능형 CCTV 설치현황,,,,,,,,,
,,"(단위 : 대, '25.6.30. 기준)",,,,,,,,,
,,자치구,관제수량,계,"2019년
이전",2020년,2021년,2022년,2023년,2024년,2025년
,,계," 117,486 "," 42,995 "," 1,128 "," 2,104 "," 16,419 "," 3,342 "," 3,749 "," 11,029 "," 5,224 "
1,,종로구," 2,939 "," 2,939 ", - , - ," 1,874 ", 168 , 277 , 620 , - 
2,,중구," 3,276 ", 703 , - , - , - , - , 350 , 178 , 175 
3,,용산구," 3,628 ", 790 , - , 20 , - , - , 300 , 470 , - 
4,,성동구," 4,682 "," 1,981 ", - ," 1,003 ", 53 , 322 , 124 , 459 , 20 
5,,광진구," 4,749 "," 2,665 ", - , 114 ," 1,200 ", - , 365 , 986 , - 
6,,동대문," 3,846 "," 1,060 ", - , - , 612 , 42 , 162 , 234 , 10 
7,,중랑구," 5,392 ", 713 , 50 , - , - , - , 30 , 633 , - 
8,,성북구," 5,074 "," 3,974 ", 750 , - ," 3,050 ", 174 , - , - , - 
9,,강북구," 4,322 "," 1,862 ", - , - , - , - , 10 , 740 ," 1,112 "
10,,도봉구," 2,820 ", 510 , 30 , 30 , - , - , 36 , 414 , - 
11,,노원구," 4,109 ", 932 , - , - , - , - , 32 , 900 , - 
12,,은평구," 5,719 "," 1,208 ", 32 , 397 , 172 , 163 ,, 444 , - 
13,,서대문," 4,337 "," 2,105 ", - , - ," 1,020 ", 450 , 500 , 135 , - 
14,,마포구," 3,843 ", 483 , - , - , - , - , - , 483 , - 
15,,양천구," 4,854 "," 3,500 ", - , - ," 3,500 ", - , - , - , - 
16,,강서구," 4,351 "," 1,025 ", - , - , - , 550 , 114 , 361 , - 
17,,구로구," 5,881 "," 2,576 ", 200 , 540 , 659 , 470 , 366 , 301 , 40 
18,,금천구," 3,724 "," 2,510 ", - , - ," 1,980 ", - , 15 , 428 , 87 
19,,영등포," 5,172 "," 2,098 ", - , - ," 1,000 ", - , - , 15 ," 1,083 "
20,,동작구," 4,156 "," 1,537 ", 60 , - , 83 , 900 , 494 , - , - 
21,,관악구," 7,036 "," 3,420 ", - , - ," 1,200 ", 100 , 123 , 886 ," 1,111 "
22,,서초구," 6,032 "," 1,645 ", - , - , - , - , 109 , 889 , 647 
23,,강남구," 8,365 "," 1,121 ", - , - , - , - , - , 220 , 901 
24,,송파구," 4,683 ", 968 , - , - , - , - , 262 , 706 , - 
25,,강동구," 4,496 ", 670 , 6 , - , 16 , 3 , 80 , 527 , 38 
,,,,,,,,,,,
